,Unnamed: 0,刀盘运行时间均值,撑靴压力均值,刀盘转速均值,撑靴泵压力均值,左撑靴俯仰角均值,控制泵压力均值,右撑靴俯仰角均值,左撑靴滚动角均值,左撑靴油缸行程检测均值,右撑靴滚动角均值,右撑靴油缸行程检测均值,围岩等级
0,0,1238.0,313.24951921712346,5.874609855028552,321.6583260351258,-1.5387734265123838,130.73252524842982,-1.849139743625156,0.33312431461524,435.15157220574224,1.242611417056968,426.02154812011133,5
1,1,1238.0,314.96838742388735,5.765117506870638,323.3103566660683,-1.566925317234641,131.01121058506018,-1.855534613197932,0.3263285884645588,434.8279416073854,1.2297007712863264,426.4987724748864,5
2,2,1238.9999999999998,316.4324217951523,5.957437040306227,323.19358510777766,-1.581769738121415,130.54270044024045,-1.845765496278344,0.32088301640214034,437.98931443907827,1.2168995480633282,426.09497817135787,5
3,3,1238.9999999999998,318.09070783983975,5.706169917690853,324.5824263033923,-1.596191007367971,130.72085067155595,-1.8641565674155258,0.31484785420513484,437.9506415289025,1.2197573903173795,426.1304831887797,5
4,4,1238.9999999999998,312.2634417592205,5.8558248369081465,321.62282096699533,-1.434913131791377,130.70500915369877,-2.2144799135240754,0.3541085240394748,435.9022924937243,1.0253903251748302,426.33717138513504,5
5,5,1239.9999999999998,315.53926887219933,5.986503420567585,323.06187810090813,-1.1226252954659963,130.75220397925793,-1.9711569209587383,0.4730448660492904,419.17328839535134,1.900639162775529,427.21656175092363,5
6,6,1239.9999999999998,322.6128583649477,5.626598829665049,324.09635011797667,-1.0719690547722855,130.5230571094898,-1.954190068206611,0.4964215810329323,417.95984209914116,1.8961541390558316,431.09557020949035,5
7,7,1239.9999999999998,318.7126435601876,5.323008106279431,325.01747475986383,-1.1649926530845356,130.94446807308364,-1.9893284486170344,0.2602358960049877,413.8742851112984,2.2811878580818257,420.9809614214202,5
8,8,1240.9999999999998,312.58312863657443,4.768275276875935,319.7496462616638,-2.2004571401320003,130.88333557609414,-2.075590411346952,-0.16106705303434266,410.1253720601378,2.7753666448942726,408.54491798754736,5
9,9,1240.9999999999998,312.38989321761693,4.492187250341619,320.65899328048187,-2.205378882089524,130.84087586955923,-2.07787019482548,-0.16051617398650725,410.55986151273294,2.768028465566226,409.14361859974963,5
10,10,1241.1393273029112,314.43220224655175,4.508494906404564,320.25035696677463,-4.030285591184242,130.85401630240634,-2.0709565025683108,-0.06746068725872549,413.69320943206566,2.3973632360664503,409.5448366162805,5
11,11,1242.0,318.3584706708521,4.444661810465651,325.7168199374921,-4.0137987463289715,130.75698605824857,-2.0391044771504743,-0.060400281442296685,415.3904863490104,2.3802916067851885,410.6451331683895,5
12,12,1242.0,315.0017088037949,4.578518220516535,322.76022583094186,-4.008355995193468,130.61808319810658,-2.0338303673072877,-0.062065082425717136,415.6890236689296,2.3747288466158136,411.2997166752922,5
13,13,1242.0,313.28947194766096,4.724903816911217,321.7038390680016,-1.186262592507717,130.61430716458548,-2.6871842344769714,-0.11007903274727128,423.6720633699172,2.713609130976771,398.38916105979433,5
14,14,1242.9999999999998,318.00444529653186,4.5888886441582475,321.39752921793524,-1.2129687220314354,130.8028634936869,-2.7087903159111306,-0.10972521101027866,430.16825587977723,2.7304933024368374,392.0029511165371,5
15,15,1242.9999999999998,317.3727789547799,4.598864950304106,323.80605497854526,-2.352036633092041,130.8820512322152,-2.9628269250711825,-0.05391532623097876,451.484434834681,2.42085360395032,373.24957752581963,5
16,16,1242.9999999999998,312.8138680524155,4.429771540353285,321.25655504151325,-2.325731569926341,130.7760635508863,-2.9222196826013898,-0.054638182325280234,455.0691799009024,2.375821236521708,369.9325943773884,5
