,总推进力均值,总推进力方差,刀盘功率均值,刀盘功率方差,刀盘扭矩均值,刀盘扭矩方差,推进速度均值,推进速度方差,刀盘速度给定均值,刀盘速度给定方差,刀盘转速均值,刀盘转速方差,稳定段刀盘转速均值,稳定段推进速度均值,稳定段刀盘扭矩均值,稳定段总推进力均值
0,10486.638239963851,3364.458787161764,762.4606751644852,68.31933738257112,1037.5926917527222,105.10677575510844,30.475463468316725,1.8472564440168593,9181.871008380485,0.0720634102153622,6.988657864720845,3.7694944745329577e-07,6.985719948770757,32.21739068365357,1029.3606383973436,9418.408256415916
1,1102.3734889738744,2380229.236536932,164.2547275544252,1055.994816287739,229.92773144773759,2802.6341245822214,0.9346943499684002,1.818356637390781,9051.84851139849,41390.620907746525,6.860466629000194,0.03781298023337529,7.0026196911441705,38.28960610274059,1165.841022342455,9424.812117830115
2,12875.332119393039,675380.4679820723,1248.8292892031698,179266.101545449,2092.4909427228868,308865.3349198562,62.00657975797639,16.923242906529318,7591.610053263601,970041.9949433773,5.581589043023272,0.47740289633238897,7.222991238433122,72.39231553296642,2398.275833016704,13453.48557664409
3,14411.216261897294,20839.271658070873,1656.0815698721121,6326.086295429975,2261.2335202169907,11604.068013881873,60.79574054374986,5.907388347756272,9178.921562342362,1.3900958435254507,6.968004758411882,2.0217728619189935e-06,6.966599575674661,63.31759585801749,2467.8317200586316,14436.542791656406
4,12392.721971578643,81287.47133610827,914.9303413543688,9097.186086857062,1546.1231599890368,2508.6646268981744,32.28011638383858,10.271804289696815,7634.561504490253,602527.8351940993,5.705231854038166,0.358371750955768,6.821275967929743,55.68405260148169,2268.9014603484447,13805.078103397922
5,13580.011725675231,257691.76664153126,1565.7417397912666,18390.396948488855,2181.9037917561795,36740.516556054106,66.87866499217647,38.139990003046925,8981.545396808737,0.05757410433984704,6.821720772206633,4.810898853459987e-06,6.823137624581275,75.83326311310745,2365.8650445231942,13457.024607948686
6,4615.48680923422,4520474.299478266,131.7153091792265,12.711956761485935,183.42450414707713,41.88081262932819,64.93851149337466,899.5858245296656,8978.052978822992,1.3927398022480044,6.84428071975708,7.6256554171364475e-31,6.824382399525152,78.15942477136245,2436.1754052195265,13559.312531070173
7,14073.651074490921,11390.238793068185,1581.2722392577423,5198.883107731689,2223.326330133343,10715.828429633539,72.66491929570729,1.2870385678074916,8906.153722732945,0.11020365124708932,6.764849003162502,1.0264926235480069e-06,6.772741945293401,73.87703173435119,2316.2690313134253,13969.59018127164
8,12588.789557993274,15467.968173766893,997.2231872257477,6798.765199517468,1693.374095850562,19375.9666246947,50.251663964901226,17.78179441060782,7379.370206602966,16.538969751237225,5.60737060598535,4.46413760024315e-06,5.802461464437433,60.69358681847291,2025.1535584274195,12931.583916264777
9,10876.358077166638,318794.17460247036,830.8434965379488,13392.280433374415,1411.190404607562,38311.85330415554,44.52292521078202,34.872247017712155,7389.283937879114,0.42782870445015997,5.616096242792554,4.934680845508943e-06,6.2824506977017345,77.65271037632608,2442.147794278318,12118.347574201383
10,9307.857055728638,32866.08482034649,665.8284907524942,2265.0617338630377,992.8747938095536,5270.985349784515,38.37513916130316,1.0798283542495994,8372.811406198221,0.39542236371191497,6.375194086339945,2.746407301956029e-07,6.360661935696519,76.09067742848625,2272.703341042861,10802.19282034909
11,11891.60799074557,21372.196630468,682.1959419255195,3909.8106709072185,1421.9922312607596,17011.877392110786,27.601593201108813,11.793524575215441,6013.57613959993,0.08721932242097394,4.566916889953248,6.589001391732199e-07,4.572968076775772,43.27189096924306,2380.55585275743,12840.887887804622
12,15270.923651547142,194340.16723491758,1417.7204730022534,7737.215168951256,2696.3337074218452,28734.251936998862,45.71031389635368,5.96887942185174,6599.297710562075,0.08035565679597242,5.003327113555675,7.216738552247864e-06,4.999625244672209,48.94662380436454,3123.8148587975024,16417.13892016408
13,14822.513090502998,25473.21815534537,1169.1888231756077,347.23699058307176,2236.7690743596618,1418.0580963564162,38.03106147051146,3.5190360099415914,6554.746945244214,0.1202570637791807,4.9706715094168725,2.430839785350674e-07,4.964918199497744,45.2323302176376,2807.2016776568476,16024.268388410592
14,1523.2969056999957,2480976.171384544,121.45738100338286,745.5519160331694,232.07737828489186,5232.738693556322,1.941186092798646,4.282203449560897,7065.2264295278865,47807.49395050834,5.167239726621717,0.1616377504292349,5.513904051359936,44.44860525697363,2558.2009099425727,15528.444152104932
15,16489.57847669625,18302.968803971577,1623.616004690438,3319.980805091457,2899.2071366538953,10817.11004480842,48.975866310665786,2.384455410227503,7034.294302744558,0.1090019765730124,5.329144029913205,2.1669064615220895e-06,5.437581010271462,48.664941121987106,2902.232808402793,16558.05983452168
16,12680.764340588039,29209.58595352655,770.9088158969341,3098.628498582058,1329.1964797626968,9174.32317749438,26.437823176650355,2.7424771858543555,7263.6400845290755,0.031477724108432796,5.521357332028843,2.4712126905938385e-06,5.5166801713942455,36.314171927279425,2003.607638004517,14657.333903722045
17,5482.120991586644,595702.8063332717,109.75913253839502,595.0243264732078,204.97241277889952,2077.923985401923,46.20126739188849,186.2215637438591,6616.9200225411505,0.1307255763534635,5.041079408092441,1.7429300420769057e-06,5.624822850565658,26.301565782237052,1381.5743015874816,12795.926004222407
18,8545.675702935558,18129.724232139135,406.05650815843876,2559.445727915578,551.2460231451481,4965.196686338548,23.223548734337026,13.48828603868032,9163.855986684937,0.09974746287608192,6.9807513239623065,3.8223471846212854e-07,7.153843286621475,45.53610540080033,1254.1936140213072,10054.317991645385
19,12304.997025166776,84616.75768422788,1032.0907728433385,8749.553784116297,1458.0529362186314,17553.3545417234,52.279387258597545,0.8798673219394113,8854.41091545185,0.02599628271486198,6.734477700053275,4.673136232883045e-06,6.725687318140006,63.27954393363745,2237.2878271232,12780.630346260523
20,11749.796191567206,25618.955215189417,1449.277888060362,16465.83693327618,2112.5225477340555,34282.21195334543,62.3740208015313,7.959756102430982,8597.744935632658,0.06663235864783167,6.531039211415246,5.270357289583546e-06,6.530728735459773,65.26419604431929,2359.0955809038596,12089.489579671548
21,10926.55034245661,55391.36893870216,1043.7442896912698,1641.8989580802634,1660.3574182809373,4209.1048588127105,46.60491296053771,4.004434850189568,7870.568906521072,0.17081640999002223,5.985463240120576,2.3748256749179066e-06,5.914358225551437,51.71134754856327,2004.6569257856174,11614.493714162207
22,11325.044657006665,92402.7851003273,1153.8932811163788,9754.262514682068,1690.4954171208994,20940.02771260327,52.22507530997816,20.318746347370812,8545.755969422262,0.0484101032726844,6.493348613207842,3.4163950403883225e-06,6.485825756302,67.72194821207997,2546.8970267737895,11127.979670856877
23,1002.7015382075912,1915541.5603724862,162.54859186685462,879.8207376797772,272.50624898844933,4841.953296308361,0.7858307080250001,1.8857059753847927,8451.599954878437,15380.976212255579,5.878811452356986,0.3748458432431044,6.48213248572037,62.17933767021741,2013.0620917654705,11612.025264878486
24,9098.285112304842,20487.957162706236,454.40789823083963,1255.3572196827283,902.3217645266542,4430.747678625532,15.930065562037505,56.956345499320165,6303.149348695037,0.22600735054741974,4.795597383774863,6.274530567638191e-08,5.568890070924007,67.64149302984501,2848.4834118933945,12866.791455587845
25,611.3416916130219,887892.4197791842,39.86717157527469,836.4932808243209,376.36380495102946,3629.0664546606554,0.7898030194127501,1.911339951461847,1789.3332881044016,1510660.5619536394,1.2603860579908512,0.8287983988550837,5.428446976659504,67.3703458978118,2290.678905545947,9794.360600887541
26,15373.790657759218,180315.34259039804,992.1240985386437,10409.141917784935,1639.6560870691383,27648.93141066411,40.39519634961677,13.109724753318146,7582.989941417047,0.014398272134504357,5.764659163877549,6.089931633058479e-06,6.530226869364317,57.97249317585806,2146.516862805626,15650.69530871852
27,13863.361673253801,11097.906696353744,1197.2920534587636,24590.40697862398,2034.5926840943064,37271.86735143008,49.95612690341478,8.2573027555243,7389.720909643127,111010.6844583776,5.594191278475699,0.06103016936196334,5.979849288090143,51.682710825161365,2014.7537913913986,13792.83351884868
28,9378.455609793873,10467.374184611954,516.0111432319911,650.4257665037954,891.5281623620536,1987.4789068278978,20.027203721081133,2.2950563907170443,7245.231611407669,0.5303824681099568,5.516826809857139,9.60769883867982e-07,6.065047302942417,61.80233309291733,2568.3203940507638,13282.621934521645
29,7092.34089303078,77779.72817915707,384.6521893752763,1675.3186954599284,637.4172734161232,4603.605019020297,20.644744991565126,0.7077855793432963,7534.264578209322,0.1491154639397506,5.7338421838439855,5.187285060411069e-07,6.058213964198428,61.60090321399043,2096.385532908772,10526.5940568666
30,7854.031002972474,52029.630909152176,494.7748696826612,1289.243912105475,830.2347524662708,3684.702954531859,24.342670402443805,4.631642229111643,7445.723543812092,0.12938716612541065,5.669103609996813,8.299389974302495e-09,5.977672333640908,60.569850541030874,2047.3658909847766,9938.410536602089
31,2800.58780256007,3954232.9429283147,216.5216691869444,5870.000259260501,406.7486052074765,20590.566276792157,11.377603641453097,111.21974019635263,6636.601645443142,0.31473158097005327,5.053039298854529,3.437771651354664e-06,5.160637229220036,63.84713863982205,2038.8264010173787,8559.32183929236
32,9528.364122935422,6314.179683252715,692.3544596050982,2472.3197467131463,1453.4002520479057,10823.91509487193,50.70957198423108,5.028117834701175,5965.960808188917,0.057594398155865596,4.534481842258045,1.0077026769256574e-06,4.529077138897032,53.35722564358477,2000.807029638923,9863.155177599847
33,11702.840748755007,14125403.933646582,1456.787507807968,69035.13044788498,2152.225343019129,142509.2196597277,51.34479197809185,272.5813298798281,7506.190408768433,4522881.559634909,5.769702523113006,1.278691223729361,6.5162084491487695,62.86803218900063,2795.4494838424125,15500.38860336993
34,13947.693221194071,48543.2879274666,1128.0450591804308,6548.172102270237,1799.3501540152868,16881.97483851674,33.94871396020905,10.139478241944751,7852.124094353681,0.08437688728917483,5.97137930989305,3.453631318819868e-06,6.850081256993563,58.61361470088703,2684.3095694887047,14993.118556385323
35,13102.012577903823,280927.29967259057,1511.8911087198094,46792.89986898825,2119.285717517691,91791.28964224755,62.00917164748049,75.30336222050741,8938.521170091624,0.05899414920898186,6.7927912954195735,9.379600036498842e-06,7.114916081682789,66.34754560992447,2871.2271571731003,16225.454477607305
36,16335.264053693922,16377.84733408133,2227.3955809539266,515.8218627476346,2962.4700930741838,927.8020823843725,64.06159774486436,14.694305967997394,9420.282014781164,0.7055164327635915,7.150926310557798,1.0722514522312984e-06,7.229093242726191,56.8588385361784,3004.5440707373323,17467.740057387422
37,15779.152531890211,340326.70570683974,1534.8991344819028,47470.97270043091,2086.9013922522477,63412.113013717215,23.411066700242568,7.273847539687705,9237.23729569938,44197.4137770213,6.996318081794752,0.028441753051865113,7.16549862722323,48.700024576564324,2844.24279012659,17685.929585202004
38,16580.996326203436,20491.482269926524,1850.6954002182792,6375.212583261582,2438.7164445176827,11166.464022464896,35.11496733901001,134.50881825878713,9503.009937219738,0.024919367189400334,7.217932596200624,1.5149197078035448e-07,7.21487846498936,52.396162364111134,2852.9537507921964,17326.205223646328
39,17440.230894586348,154934.23949855368,1984.1470341901374,19401.99176194802,2625.3778024819517,34099.3886460069,52.33525140000022,8.360340229154929,9472.441769999547,0.7140992913266896,7.191921635221236,2.529504972168423e-06,7.199262325229209,50.55421397109091,2811.461014760986,17715.8899556654
40,15469.739863060367,405775.9082040254,1728.0104495068142,68780.40217013123,2286.1581892971913,121103.11513984915,33.7857066398094,23.5282973409957,9470.89534449786,4.260434313394851,7.196226490692741,7.467313032777827e-06,7.199838094458793,57.714375020080816,2791.7333689798884,16135.858740108393
41,8841.171242425331,15306.199814953223,881.3551845561425,4602.37795113292,1336.1573881265142,10208.999048869407,46.94773605951272,15.586123621968325,8264.041463587795,7.2473920451409315,6.288246731585537,2.4516890246982115e-06,6.2942628555678874,65.99368143528909,2001.286569537318,10014.800688797812
42,10742.093057483122,39772.04596733084,1434.5168980340864,17303.995594583037,2184.2777368975717,23553.05987964894,70.00242005765058,8.062410548614299,8242.560699623416,46138.709973984776,6.246540440910532,0.026792553836312388,6.468907758831958,71.22325842874629,2227.195331787677,10728.427437959775
43,7113.499151051807,58819.73290875454,295.6111559499737,1939.8746468312422,499.4586056050888,5732.083917951249,24.32839074081907,1.2951742372905375,7378.169897790131,0.07676064081981784,5.618615725124422,2.2068734679739875e-06,6.396487302299361,77.52574687187395,2115.023888338774,10897.299231327139
44,8224.406315602224,302614.26446527394,420.0101414244992,5287.283328219719,622.9531192150409,11344.38217379592,22.71614609630686,17.2639044378414,8443.147153685239,0.22430087670368967,6.431658771604116,5.354706807603761e-08,6.41819727348047,73.9291633705781,2286.796378821977,12746.79111899763
45,3995.5478813679733,37308.45014529986,133.83701041058245,542.026855718402,209.40404553196632,1496.9129947446822,13.448364010949518,96.44603921210569,7971.570478808557,0.2836758605857384,6.073801905620639,8.162832466494825e-08,6.058115208372389,65.23994387878834,2510.1499329202,10770.991240025136
46,8353.880829314901,17222.66147310158,588.4565102813597,2247.650116679239,1090.464546798684,8074.077571557562,26.715601070020668,1.6161980593191367,6758.761509953046,0.008287119530410992,5.143325737986828,1.3106595419988112e-06,5.5661195852599725,64.6852165965043,2631.6190642028428,11436.649179844555
47,9769.494128267826,109483.00639175244,878.7811214427995,11753.52820835429,1508.9863057642226,34241.51208959404,44.072285562248716,15.668687634273937,7301.050023635298,0.11471025931563812,5.551833504463702,3.1502037307506687e-06,5.440777284157276,65.54461344206128,2426.6295340347115,10413.960042495151
48,7677.171257463966,9383.203685363778,513.4602656354447,1360.8609273030315,888.9217403874386,4012.718963198306,23.064601543981702,0.7530262380130655,7219.361855496028,0.012878601096005683,5.4948228206661485,8.974372371021333e-08,5.478718706904754,70.62740924426308,2656.028372968142,10870.056324554922
49,7017.314581538581,77092.73635009248,495.51391523257627,436.5417189290021,1044.5336151953004,2107.662613766345,28.1255103739253,0.9307433182989931,5934.437201984012,0.09180960810988985,4.516991179938139,2.626427233896552e-07,5.023554320899609,52.90547942341897,2065.6516774088313,10045.871276327156
50,12195.987385904235,23834.577532376206,1903.0612341550586,13341.58199385685,3289.1602799626,40640.21182649134,75.39934263618002,11.901004574382904,7264.6368177924205,0.06360047093457821,5.503646855910242,1.6472516933311474e-06,5.97275416751142,84.58559752118029,3243.349586912228,12309.660134961077
51,11652.49618249355,48250.62300053302,1988.0352789325755,3481.524198431027,3439.576145305083,9387.309254318236,80.4614062812871,8.494866250888848,7271.074896288958,3763.9378142542546,5.505781069718296,0.0011844256938961452,6.012361898578982,80.9671446286919,3035.3290665762497,11480.094142245713
52,3606.717970020708,2475820.9272669107,230.84629408167547,1015.9216342546093,397.0027364785436,1727.1141029148555,23.88113773223922,534.6376591541177,7863.898906573814,0.2423376787293055,5.625046387243336,0.17674318557064217,5.971838761005039,87.80127339965806,3345.037025873552,13422.404392695205
